1a1,Rural Workers and Families
1a2,Established Farming Communities
1a3,Agricultural Communities
1a4,Older Farming Communities
1b1,Rural Life
1b2,Rural White-Collar Workers
1b3,Ageing Rural Flat Tenants
1c1,Rural Employment and Retirees
1c2,Renting Rural Retirement
1c3,Detached Rural Retirement
2a1,Student Communal Living
2a2,Student Digs
2a3,Students and Professionals
2b1,Students and Commuters
2b2,Multicultural Student Neighbourhoods
2c1,Migrant Families
2c2,Migrant Commuters
2c3,Professional Service Cosmopolitans
2d1,Urban Cultural Mix
2d2,Highly-Qualified Quaternary Workers
2d3,EU White-Collar Workers
3a1,Established Renting Families
3a2,Young Families and Students
3b1,Striving Service Workers
3b2,Bangladeshi Mixed Employment
3b3,Multi-Ethnic Professional Service Workers
3c1,Constrained Neighbourhoods
3c2,Constrained Commuters
3d1,New EU Tech Workers
3d2,Established Tech Workers
3d3,Old EU Tech Workers
4a1,Social Renting Young Families
4a2,Private Renting New Arrivals
4a3,Commuters with Young Families
4b1,Asian Terraces and Flats
4b2,Pakistani Communities
4c1,Achieving Minorities
4c2,Multicultural New Arrivals
4c3,Inner City Ethnic Mix
5a1,White Professionals
5a2,Multi-Ethnic Professionals with Families
5a3,Families in Terraces and Flats 
5b1,Delayed Retirement
5b2,Communal Retirement
5b3,Self-Sufficient Retirement
6a1,Indian Tech Achievers
6a2,Comfortable Suburbia
6a3,Detached Retirement Living
6a4,Ageing in Suburbia
6b1,Multi-Ethnic Suburbia
6b2,White Suburban Communities
6b3,Semi-Detached Ageing
6b4,Older Workers and Retirement
7a1,Transitional Eastern European Neighbourhoods
7a2,Hampered Aspiration
7a3,Multi-Ethnic Hardship
7b1,Eastern European Communities
7b2,Deprived Neighbourhoods
7b3,Endeavouring Flat Dwellers
7c1,Challenged Transitionaries
7c2,Constrained Young Families
7c3,Outer City Hardship
7d1,Ageing Communities and Families
7d2,Retired Independent City Dwellers
7d3,Retired Communal City Dwellers
7d4,Retired City Hardship
8a1,Industrious Transitions
8a2,Industrious Hardship
8b1,Deprived Blue-Collar Terraces
8b2,Hard-Pressed Rented Terraces
8c1,Ageing Industrious Workers
8c2,Ageing Rural Industry Workers
8c3,Renting Hard-Pressed Workers
8d1,Young Hard-Pressed Families
8d2,Hard-Pressed Ethnic Mix
8d3,Hard-Pressed European Settlers
