GeographyID,GeographyName,GeographyDescription,FamilyHub,Ward
E02001958,Coventry 001,Longford Village,Park Edge,E05001225
E02001959,Coventry 002,"Keresley, Holbrooks",Pathways,E05001224
E02001961,Coventry 004,Bell Green,Park Edge,E05001225
E02001962,Coventry 005,Upper Foleshill,Park Edge,E05001222
E02001963,Coventry 006,Keresley,Pathways,E05001218
E02001964,Coventry 007,"Wood End, Henley & Manor Farm (WEHM)",The Moat,E05001223
E02001965,Coventry 008,Potters Green & Mount Pleasant,The Moat,E05001223
E02001966,Coventry 009,"Courtaulds, Edgwick",Families for All,E05001222
E02001967,Coventry 010,Allesley Village & Bablake,Pathways,E05001218
E02001968,Coventry 011,Jubilee Area,Pathways,E05001227
E02001969,Coventry 012,Radford,Pathways,E05001227
E02001970,Coventry 013,Wyken Green,The Moat,E05001230
E02001971,Coventry 014,Coundon,Pathways,E05001218
E02001972,Coventry 015,South Foleshill & Paradise,Families for All,E05001222
E02001973,Coventry 016,Stoke & Stoke Heath,Park Edge,E05001230
E02001974,Coventry 017,Allesley Old Road Area,Pathways,E05001229
E02001975,Coventry 018,Hipswell Highway & Ansty Road,Park Edge,E05001226
E02001976,Coventry 019,"Wyken, Sowe Valley",The Moat,E05001235
E02001977,Coventry 020,Radford & Canal Basin,Pathways,E05001227
E02001978,Coventry 021,Upper Stoke Central,Park Edge,E05001230
E02001979,Coventry 022,Allesley Park,Mosaic,E05001233
E02001980,Coventry 023,Lower Eastern Green,Mosaic,E05001234
E02001981,Coventry 024,Hillfields,Harmony,E05001228
E02001982,Coventry 025,Banner Lane,Mosaic,E05001234
E02001983,Coventry 026,"Whoberley, Central",Mosaic,E05001233
E02001984,Coventry 027,Stoke Park & New Century Business Park,Aspire,E05001226
E02001985,Coventry 028,Charterhouse,Aspire,E05001228
E02001986,Coventry 029,Tile Hill,Mosaic,E05001234
E02001987,Coventry 030,"Earlsdon, Chapelfields",Mosaic,E05001233
E02001988,Coventry 031,City Centre,Harmony,E05001228
E02001989,Coventry 032,Lime Tree Park,Mosaic,E05001232
E02001990,Coventry 033,Binley,Wood Side,E05001219
E02001991,Coventry 034,"Earlsdon, Beechwood",Mosaic,E05001221
E02001992,Coventry 035,Aldermoor & Ernesford Grange,Wood Side,E05001219
E02001993,Coventry 036,Torrington & Canley,Mosaic,E05001232
E02001994,Coventry 037,"Cheylesmore, Quinton",Aspire,E05001220
E02001995,Coventry 038,"Cheylesmore, Whitley",Aspire,E05001220
E02001996,Coventry 039,Willenhall,Wood Side,E05001219
E02001997,Coventry 040,"Finham, South Cheylesmore",Aspire,E05001221
E02001998,Coventry 041,Green Lane,Mosaic,E05001231
E02001999,Coventry 042,University & Gibbet Hill,Mosaic,E05001231
E02006805,Coventry 043,North Holbrooks,Pathways,E05001224
